rlwrap ../../../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
6494 620 140 178 
6494 620 139 177 
6495 618 142 181 
6496 618 141 182 
6496 618 145 187 
6496 617 146 187 
6496 616 146 188 
6496 614 148 190 
6498 614 154 198 
6496 614 159 205 
6497 614 129 166 
6498 614 137 177 
6500 614 160 206 
6500 614 157 203 
6500 614 162 210 
6500 614 161 211 
6500 612 160 209 
6501 612 158 208 
6501 612 162 213 
6499 610 164 213 
6499 610 163 215 
6499 610 164 214 
6499 610 164 216 
6499 608 165 217 
6498 606 166 217 
6497 604 166 218 
6497 604 166 218 
6498 602 167 220 
6497 602 168 224 
6499 600 169 225 
6498 600 159 211 
6498 600 163 217 
6500 600 163 213 
6500 600 164 217 
6500 600 164 219 
6500 601 166 221 
6502 602 166 222 
6502 602 169 228 
6501 602 169 228 
6503 604 169 229 
6503 604 169 228 
6504 604 170 229 
6505 604 170 230 
6505 604 170 231 
6505 602 171 232 
6504 602 173 233 
6503 600 173 235 
6505 600 174 236 
6505 600 175 237 
6505 600 173 236 
6506 598 175 237 
6506 598 176 239 
6505 598 176 242 
6506 598 179 244 
6506 598 179 243 
6506 598 179 244 
6507 597 177 244 
6507 596 178 244 
6505 596 179 244 
6506 596 180 248 
6507 596 181 247 
6507 596 183 269 
6507 597 208 299 
6508 598 207 297 
6508 598 207 299 
6508 598 207 297 
6510 598 208 298 
6509 598 206 300 
6509 596 209 299 
6509 596 209 301 
6509 596 207 300 
6510 594 209 302 
6510 594 209 302 
6509 594 213 303 
6510 592 231 328 
6510 592 543 498 
6512 608 673 699 
6514 620 673 698 
6517 626 674 697 
6518 628 675 700 
6520 626 678 703 
6524 620 678 703 
6530 616 682 709 
6533 610 683 710 
6533 608 683 710 
6536 604 683 710 
6537 601 684 711 
6541 598 126 179 
6540 600 102 110 
6540 622 102 107 
6540 652 103 110 
6540 680 102 111 
6540 703 101 111 
6540 724 101 110 
6540 736 102 111 
6541 736 102 111 
6541 724 102 111 
6541 726 101 112 
6541 730 104 112 
6540 716 103 113 
6539 700 103 113 
6539 692 101 112 
6539 696 104 113 
6540 693 103 113 
6538 688 104 113 
6540 694 104 113 
6539 707 154 216 
6542 729 688 711 
6548 744 692 718 
6550 751 693 719 
6554 755 693 719 
6558 768 693 718 
6565 781 693 717 
6567 770 693 720 
6572 756 670 693 
6574 736 660 682 
6577 718 658 678 
6579 704 657 678 
6579 696 657 677 
6582 688 656 677 
6585 675 698 725 
6588 664 701 730 
6592 658 701 730 
6598 650 701 727 
6601 644 701 730 
6606 634 701 729 
6610 628 701 728 
6613 624 576 625 
6613 620 583 629 
6610 616 586 630 
6611 612 586 631 
6611 608 587 633 
6609 604 591 633 
6607 600 589 632 
6606 597 591 633 
6604 594 591 631 
6604 592 587 632 
6604 591 591 633 
6605 590 591 632 
6603 590 591 633 
6604 589 592 633 
6606 592 589 632 
6605 590 692 720 
6604 590 170 255 
6605 594 113 163 
6604 594 119 165 
6604 591 120 165 
6604 588 119 166 
6601 586 120 166 
6602 582 120 168 
6601 582 120 167 
6602 580 120 165 
6600 578 120 166 
6600 576 120 166 
6600 576 120 165 
6600 574 121 166 
6600 574 115 163 
6599 573 113 157 
6600 572 115 158 
6600 572 115 162 
6599 572 123 175 
6598 570 117 166 
6598 569 117 163 
6598 568 117 163 
6595 566 114 162 
6594 566 116 161 
6594 564 117 162 
6595 564 117 163 
6594 564 114 160 
6593 564 117 162 
6592 562 117 163 
6593 562 117 163 
6592 562 117 164 
6593 562 117 162 
6592 561 116 162 
6592 560 116 163 
6592 560 117 162 
6592 560 116 163 
6592 560 117 164 
6592 560 116 164 
6592 560 114 163 
6592 560 117 161 
6592 560 117 163 
6593 560 118 164 
6592 562 118 164 
6594 562 117 164 
6593 562 117 164 
6594 562 117 163 
6594 562 116 161 
